ID,Category,Pos_b,Pos_e,Privacy
2441,game,5,9,俄罗斯方块
2441,address,29,31,童萌汇
2441,name,13,14,胡侃
2441,game,68,79,《星际争霸Online》
2441,company,54,61,GameSpot
2441,position,40,41,小编
2441,scene,85,92,澳门中国银行大厦
2441,government,122,131,湖南省地方金融证券办
2441,position,134,136,负责人
2441,position,142,144,负责人
2441,position,149,150,记者
2441,organization,182,184,联盟杯
2441,name,159,162,舍普琴科
2441,company,229,232,盖蒂信托
2441,scene,238,243,意大利博物馆
2441,name,254,255,穆图
2441,name,262,267,卡兹马诺维奇
2441,name,271,274,普兰德利
2441,address,309,310,京城
2441,scene,324,325,香山
2441,name,337,339,沈力军
2441,position,358,359,记者
2441,organization,385,388,那不勒斯
2441,organization,391,394,卡利亚里
2441,address,409,427,北京市丰台区京荟广场文化产业园B座2层
2441,government,453,454,俄军
2441,book,438,443,《俄罗斯报》
2441,name,459,462,马卡罗夫
2441,position,455,458,总参谋长
2441,position,468,471,驻俄武官
2441,name,490,492,徐悲鸿
2441,name,495,497,张大千
2441,address,5